data,valor,descrição,categoria,forma,parcelas,valor_parcela
01/11/2025,"R$ 193,19",Mercado Livre - Camisetas e bermudas,Roupa,Crédito C6,2,"R$ 96,60"
01/11/2025,"R$ 94,05",Mercado Livre - toalhas,Casa,Crédito C6,2,"R$ 47,03"
01/11/2025,"R$ 212,00",Mercado Livre - suplementos,Esporte,Crédito C6,2,"R$ 106,00"
01/10/2025,"R$ 1.599,20",Estetica parangaba Fort - Amanda,Roupa,Crédito BB - Afonso,8,"R$ 199,90"
01/10/2025,"R$ 42,99",Paraiba calçados - Amanda,Roupa,Crédito BB - Afonso,3,"R$ 14,33"
01/10/2025,"R$ 49,87",Mulher Fitness - Amanda,Roupa,Crédito BB - Afonso,3,"R$ 16,62"
01/11/2025,"R$ 186,44",Bluhen - bermudas,Roupa,Crédito Santander,4,"R$ 46,61"
01/01/2026,"R$ 275,68",Mercado Livre - Amanda,Roupa,Crédito BB - Afonso,2,"R$ 137,84"
01/01/2026,"R$ 569,43",Gocase,Roupa,Crédito BB - Afonso,3,"R$ 189,81"
01/12/2025,"R$ 6.699,00",notebook,Trabalho,Crédito Santander,12,"R$ 558,25"
01/01/2026,"R$ 5.330,20",colchão ,Casa,Crédito BB - Afonso,10,"R$ 533,02"
01/01/2026,"R$ 23,90",Mercado Livre - Tape de LPO,Esporte,Crédito C6,2,"R$ 11,95"
01/01/2026,"R$ 29,90",Mercado Livre - sunga,Roupa,Crédito C6,2,"R$ 14,95"
01/01/2026,"R$ 300,00",All shoes - tenis de corrida,Esporte,Crédito C6,2,"R$ 150,00"
01/01/2026,"R$ 6.000,00",Reis - mesa de jantar,Casa,Crédito BB - Afonso,6,"R$ 1.000,00"
01/01/2026,"R$ 47,77",Amazon - Creatina Dux ,Esporte,Crédito Nubank,2,"R$ 23,89"
03/02/2025,"R$ 457,21",Pague Menos – Niquitin adesivo 14mg; Protetor solar FPS 60; Vitamin Flash (suplemento); Bup XL 300mg; Sincron XR 25mg; Dramin B6,Farmácia,Crédito C6,2,"R$ 228,61"
03/02/2025,"R$ 64,64",Pague Menos – Creme hidratante facial Principia; Gel de limpeza facial Principia,Higiene,Crédito C6,2,"R$ 32,32"
03/02/2025,"R$ 13,49",Pague Menos – Isotônico Sorox Tang 550ml,Alimentação,Crédito C6,2,"R$ 6,75"
03/02/2025,"R$ 140,00",Dmobile – carregador portátil,Outros,Crédito C6,2,"R$ 70,00"
12/01/2026,"R$ 479,80",Lilipop – roupas infantis para Lilian,Roupa,Crédito C6,2,"R$ 239,90"
02/02/2026,"R$ 154,95",Mercado Rakausstore,Roupa,Crédito C6,2,"R$ 77,48"
02/02/2026,"R$ 220,36",Pague Menos 0380,Farmácia,Crédito C6,2,"R$ 110,18"
02/02/2026,"R$ 45,48",Amazon Marketplace,Esporte,Crédito Santander,6,"R$ 7,58"
02/02/2026,"R$ 152,50",Nobre Lar Home Center,Casa,Crédito C6,3,"R$ 50,83"
02/02/2026,"R$ 220,41",Eletrônica São Franc,Educação,Crédito Santander,8,"R$ 27,55"
01/03/2026,"R$ 338,07",Amanda - Voe,Outros,Crédito BB - Afonso,3,"R$ 112,69"
01/03/2026,"R$ 247,76",Amanda - Papelaria,Escritório,Crédito BB - Afonso,4,"R$ 61,94"
01/04/2026,"R$ 1.187,78",Impressora,Trabalho,Crédito BB - Afonso,7,"R$ 169,68"
01/04/2026,"R$ 242,70",O Boticário,Perfumaria,Crédito Santander,3,"R$ 80,90"
01/04/2026,"R$ 141,75",Pague Menos - Gillette - talco para pé,Higiene,Crédito Santander,3,"R$ 47,25"
01/04/2026,"R$ 154,80",Mercado Livre - vareta do capo Onix,Carro,Crédito Santander,5,"R$ 30,96"
01/04/2026,"R$ 222,00",Liane Cell Inform - conserto do celular,Outros,Crédito Santander,3,"R$ 74,00"
01/04/2026,"R$ 180,00",Monamie Boutique - vestidos da Amanda,Roupa,Crédito Santander,3,"R$ 60,00"
01/04/2026,"R$ 416,38",Blühen - roupa,Roupa,Crédito Nubank,10,"R$ 41,64"
01/04/2026,"R$ 719,99",Tênis Rebook Nano X4,Esporte,Crédito C6,10,"R$ 72,00"
